relationship,frequency
曹操 关公 袁绍 张辽,2
玄德 袁绍,2
曹操 关公 袁绍 张辽 徐晃,2
曹操 玄德 袁绍,1
曹操 关公 张辽 徐晃,1
玄德 关公 袁绍,2
玄德 关公 袁绍 张辽,1
曹操 玄德 关公 张飞 袁绍,1
曹操 关公 张飞,1
玄德 关公 张飞 袁绍,1
曹操 玄德 关公 张飞 袁绍 赵云 刘表,1
玄德 赵云,9
曹操 玄德 袁绍 刘表,1
曹操 袁绍 孙权 周瑜 刘表,1
曹操 袁绍 张辽 徐晃,4
曹操 袁绍 张辽,1
曹操 玄德 刘表,5
曹操 袁绍 徐晃,1
曹操 玄德 张飞 袁绍 赵云 张辽 徐晃,1
玄德 张飞 赵云,4
曹操 玄德 吕布 袁绍 赵云 刘表,1
曹操 张辽 徐晃,1
曹操 袁绍 孙权 刘表,1
玄德 张飞 赵云 孙权 刘表,1
玄德 刘表,3
曹操 玄德 关公 张飞 赵云 庞德 刘表,1
孔明 曹操 玄德 张飞 赵云,4
孔明 曹操 玄德,9
孔明 玄德 张飞,5
孔明 玄德,9
孔明 玄德 关公 张飞,1
孔明 曹操 玄德 袁绍 孙权 刘表 董卓,1
曹操 袁绍 孙权 周瑜,1
孙权 周瑜,3
曹操 孙权 周瑜 刘表,1
孙权 刘表,1
孔明 玄德 张飞 刘表,1
孔明 曹操 玄德 张飞 刘表,1
孔明 曹操 玄德 司马懿 刘表,1
孔明 曹操 玄德 赵云,2
曹操 孙权 张辽,3
曹操 孙权 刘表,1
曹操 玄德 孙权 刘表,1
孔明 曹操 玄德 张飞,2
孔明 玄德 张飞 赵云,2
孔明 曹操 玄德 关公 张飞,1
孔明 玄德 张飞 魏延,2
孔明 曹操,4
曹操 玄德 张飞 赵云,1
张飞 赵云,4
曹操 赵云,1
曹操 袁绍 赵云,1
孔明 曹操 张飞 赵云 张辽,1
曹操 玄德 张飞 张辽,1
曹操 玄德 赵云,1
曹操 玄德 孙权,1
孔明 曹操 玄德 孙权 刘表,1
孔明 曹操 玄德 孙权,2
曹操 孙权,7
孔明 曹操 赵云 孙权 刘表,1
孔明 曹操 袁绍,1
孔明 曹操 玄德 袁绍 孙权,1
孔明 曹操 吕布 袁绍 孙权 刘表,1
孔明 曹操 孙权 周瑜,1
孔明 曹操 吕布 袁绍 孙权 周瑜 刘表 董卓,1
孔明 曹操 周瑜,5
孔明 周瑜,3
孔明 曹操 周瑜 张辽 徐晃,1
曹操 周瑜,10
张辽 徐晃,1
孔明 孙权 周瑜,1
孔明 赵云 周瑜,1
曹操 孙权 周瑜,1
孔明 曹操 玄德 周瑜,1
曹操 张辽,3
曹操 周瑜 张辽,2
曹操 袁绍 赵云 孙权 周瑜 张辽 徐晃,1
张飞 周瑜 张辽 徐晃,1
曹操 周瑜 张辽 徐晃,1
孔明 玄德 周瑜,2
孔明 曹操 玄德 赵云 周瑜,1
玄德 周瑜,2
玄德 张飞 周瑜,1
孔明 曹操 玄德 张飞 赵云 孙权 周瑜,1
孔明 玄德 黄忠 刘表,1
孔明 玄德 黄忠 魏延,3
孔明 玄德 黄忠 魏延 刘表,1
孙权 张辽,2
孔明 玄德 孙权,3
孔明 玄德 孙权 周瑜,1
孔明 玄德 赵云 孙权,1
玄德 孙权 周瑜,1
玄德 赵云 孙权 周瑜,1
玄德 孙权,6
孔明 玄德 赵云 孙权 周瑜,1
玄德 赵云 孙权,1
玄德 赵云 周瑜,1
孔明 玄德 赵云 黄忠 魏延 周瑜,1
孔明 曹操 玄德 关公 吕布 张飞 袁绍 赵云 孙权 黄忠 魏延 周瑜 刘表 董卓 徐晃,1
孔明 曹操 玄德 张飞 赵云 孙权 马超 周瑜 徐晃,1
孔明 曹操 玄德 孙权 马超 庞德 张辽 徐晃,1
曹操 马超,5
曹操 马超 庞德,4
曹操 吕布 马超 庞德,1
曹操 马超 徐晃,3
曹操 马超 庞德 徐晃,2
曹操 吕布 马超,1
孔明 曹操 玄德 关公 吕布 张飞 赵云 孙权 黄忠 魏延 马超,1
赵云 孙权,1
玄德 魏延,1
孔明 曹操 玄德 张飞 赵云 孙权,1
孔明 曹操 玄德 孙权 黄忠 魏延 刘表,1
孔明 曹操 玄德 张飞 赵云 孙权 黄忠 魏延,1
孔明 马超,1
孔明 曹操 玄德 张飞 赵云 黄忠 魏延 马超 庞德,1
马超 庞德,1
孔明 曹操 玄德 张飞 魏延 马超,1
孔明 玄德 张飞 魏延 马超,1
孔明 玄德 张飞 赵云 马超,1
曹操 玄德 马超,1
玄德 赵云 黄忠 马超,1
孔明 玄德 张飞 赵云 黄忠 魏延 马超,2
孔明 曹操 玄德 赵云 孙权,1
孔明 玄德 马超,1
孔明 曹操 玄德 关公 孙权,1
曹操 庞德 徐晃,1
曹操 庞德,1
孔明 曹操 玄德 孙权 司马懿,1
曹操 玄德 孙权 庞德 张辽 徐晃,1
玄德 张飞 司马懿 马超,1
张飞 马超,1
张飞 黄忠,1
张飞 魏延,1
孔明 玄德 赵云 黄忠,2
曹操 黄忠 魏延,1
玄德 黄忠,1
孔明 曹操 玄德 张飞 赵云 黄忠,1
赵云 黄忠,1
曹操 黄忠,2
曹操 黄忠 徐晃,1
孔明 曹操 玄德 黄忠,1
曹操 赵云 黄忠 徐晃,1
孔明 曹操 玄德 赵云 黄忠 徐晃,2
曹操 玄德 赵云 黄忠 徐晃,1
玄德 赵云 黄忠 徐晃,1
孔明 曹操 玄德 赵云 徐晃,1
孔明 曹操 玄德 张飞 赵云 黄忠 魏延,1
曹操 张飞 魏延,1
曹操 玄德 张飞 赵云 黄忠 徐晃,1
玄德 马超,1
曹操 魏延 马超 庞德,1
孔明 曹操 魏延 马超,1
曹操 玄德 张飞 赵云 黄忠 魏延 马超 董卓,1
曹操 玄德 孙权 司马懿,1
孔明 曹操 黄忠 魏延,1
曹操 关公 庞德,1
关公 庞德,4
关公 马超 庞德,1
曹操 关公 孙权 司马懿 庞德 徐晃,1
曹操 孙权 庞德,1
关公 孙权,7
关公 孙权 周瑜,1
曹操 关公 孙权,4
孔明 曹操 关公 孙权 徐晃,1
曹操 关公 孙权 司马懿,1
孔明 玄德 关公,3
玄德 关公,1
孔明 曹操 玄德 关公,1
曹操 孙权 司马懿,3
孔明 曹操 玄德 关公 孙权 马超 庞德 徐晃,1
孔明 曹操 玄德 赵云 孙权 司马懿,1
曹操 张飞 赵云 孙权,1
关公 张飞,1
孔明 张飞,2
张飞 赵云 黄忠 魏延 马超,1
孔明 关公 张飞,1
玄德 张飞 孙权,1
孙权 黄忠,1
关公 张飞 孙权 黄忠,1
孔明 赵云,4
孔明 张飞 孙权 司马懿 张辽,1
孔明 孙权,3
孔明 赵云 孙权 魏延 马超,1
孔明 赵云 孙权 司马懿 魏延 马超 张辽 徐晃,1
孔明 孙权 马超,1
孔明 关公 赵云 魏延,1
孔明 魏延,12
孔明 赵云 魏延,11
孔明 曹操 孙权,1
孔明 袁绍,1
孔明 司马懿,36
孔明 曹操 赵云 黄忠,1
孔明 赵云 魏延 马超,1
孔明 吕布 袁绍 赵云 魏延 姜维 刘表 董卓,1
孔明 曹操 关公 赵云 司马懿 魏延 姜维 徐晃,1
孔明 赵云 司马懿 魏延 姜维,1
孔明 赵云 司马懿,1
孔明 姜维,10
孙权 司马懿,2
孔明 曹操 赵云 孙权 司马懿 魏延 姜维,1
孔明 孙权 司马懿,4
孔明 姜维 张辽,1
孔明 魏延 姜维,7
孔明 司马懿 姜维,6
孔明 司马懿 魏延,6
司马懿 姜维,5
孔明 司马懿 魏延 姜维,8
孔明 孙权 司马懿 魏延 姜维,1
司马懿 魏延 姜维,1
魏延 姜维,2
孔明 玄德 司马懿,1
孙权 司马懿 姜维,1
曹操 姜维,1
曹操 司马懿,1
孔明 曹操 玄德 袁绍 姜维 刘表 董卓,1
